CIM_ElementAllocatedFromPool,,,,,,,,,,,,,,,,,Msvm_GuestNetworkAdapterConfiguration,,,,Msvm_SyntheticKeyboard,,
CIM_ElementCapabilities,,,,,,,,,,,,,,,,,Msvm_HostedEthernetSwitchExtension,,,,Msvm_TPM,,
CIM_ElementConformsToProfile,,,,,,,,,,,,,,,,,Msvm_HostedSwitchService,,,,Msvm_TPMSettingData,,
CIM_ElementSettingData,,,,,,,,,,,,,,,,,Msvm_InstalledEthernetSwitchExtension,,,,Msvm_VHDSetInformation,,
CIM_ElementView,,,,,,,,,,,,,,,,,Msvm_InternalEthernetPort,,,,Msvm_VHDSnapshotInformation,,
CIM_EnabledLogicalElement,,,,,,,,,,,,,,,,,Msvm_LANEndpoint,,,,Msvm_VirtualEthernetSwitchNicTeamingMember,,
CIM_EnabledLogicalElementCapabilities,,,,,,,,,,,,,,,,,Msvm_ParentEthernetSwitchExtension,,,,Msvm_VirtualEthernetSwitchNicTeamingSettingData,,
CIM_Error,,,,,,,,,,,,,,,,,Msvm_SettingDataComponent,,,,Msvm_VirtualMachineToDisks,,
CIM_EthernetPort,,,,,,,,,,,,,,,,,Msvm_SwitchPortDynamicForwarding,,,,Msvm_VirtualSystemCollection,,
CIM_EthernetPortAllocationSettingData,,,,,,,,,,,,,,,,,Msvm_SyntheticEthernetPort,,,,Msvm_VirtualSystemReferencePoint,,
CIM_FCPort,,,,,,,,,,,,,,,,,Msvm_SyntheticEthernetPortSettingData,,,,Msvm_VirtualSystemReferencePointExportSettingData,,
CIM_ForwardingService,,,,,,,,,,,,,,,,,Msvm_TransparentBridgingDynamicForwarding,,,,Msvm_VirtualSystemReferencePointService,,
CIM_ForwardsAmong,,,,,,,,,,,,,,,,,Msvm_TransparentBridgingService,,,,Msvm_VirtualSystemReferencePointSettingData,,
CIM_HostedAccessPoint,,,,,,,,,,,,,,,,,Msvm_VirtualEthernetSwitch,,,,Msvm_VirtualSystemSnapshotSettingData,,
CIM_HostedDependency,,,,,,,,,,,,,,,,,Msvm_VirtualEthernetSwitchBandwidthSettingData,,,,Msvm_VssService,,
CIM_HostedResourcePool,,,,,,,,,,,,,,,,,Msvm_VirtualEthernetSwitchManagementCapabilities,,,,,,
CIM_HostedService,,,,,,,,,,,,,,,,,Msvm_VirtualEthernetSwitchManagementService,,,,,,
CIM_IDEController,,,,,,,,,,,,,,,,,Msvm_VirtualEthernetSwitchSettingData,,,,,,
